request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Pay ZAR 61446 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-25. None of the available options keeps the IDR 14433900 minimum protected.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available."
request_60,85.20,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 199.89 request. Although USD 85.20 is available today, the full amount cannot be completed safely within 90 days."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,46869.50,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343900 request. Although INR 46869.50 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16. None of the available options keeps the INR 36100 minimum protected.
request_65,7058.41,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54340 request. Although ZAR 7058.41 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,518.31,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Pay USD 2094 in full on 2024-10-15. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1490.29,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50548.17,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115000 minimum.
request_71,1337523.89,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21451000 request. Although IDR 1337523.89 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,13995.37,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28270 request. Although ZAR 13995.37 is available today, the full amount cannot be completed safely within 90 days."
request_76,1083.07,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the USD 4455.60 request. Although USD 1083.07 is available today, the full amount cannot be completed safely within 90 days."
request_77,60694.17,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7111,"Adjust spending (stop:event_7111), then pay INR 60700 today. This leaves at least INR 82200 available."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days.
request_79,352.45,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2151.60 request. Although EUR 352.45 is available today, the full amount cannot be completed safely within 90 days."
request_80,110938.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217500 request. Although INR 110938.79 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,537.46,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,Pay USD 1405.20 in full on 2025-01-15. Paying earlier would take the balance below the USD 1100 minimum.
request_83,6823.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156200 request. Although INR 6823.41 is available today, the full amount cannot be completed safely within 90 days."
request_84,24892,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Pay INR 95400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91300 minimum.
request_85,440763.80,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request. Although IDR 440763.80 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,46168.53,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487900 request. Although INR 46168.53 is available today, the full amount cannot be completed safely within 90 days."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available."
request_89,10831438.44,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,763.56,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,Pay EUR 1927.20 in full on 2024-10-15. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,47325.49,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553000 request. Although INR 47325.49 is available today, the full amount cannot be completed safely within 90 days."
request_96,72966.76,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56500 available."
request_97,1475.32,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,8526.61,affordable_later,wait,2025-09-15:27148,2025-09-15,none,Pay ZAR 27148 in full on 2025-09-15. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
request_100,28759.67,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,11301.98,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368300 request. Although INR 11301.98 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,538.44,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,Pay EUR 2207.70 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,847.27,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2534.40 request. Although EUR 847.27 is available today, the full amount cannot be completed safely within 90 days."
request_108,4736.92,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed with the ZAR 55308 request. Although ZAR 4736.92 is available today, the full amount cannot be completed safely within 90 days."
request_109,733.72,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. This leaves at least INR 82300 available over the next 90 days.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days.
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38800 minimum.
request_116,26598.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241200 request. Although INR 26598.79 is available today, the full amount cannot be completed safely within 90 days."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,678.27,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,56856.82,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70546.67, starting 2025-05-18. This leaves at least INR 151200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1480.83,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available."
request_125,6436.46,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:event_11596:223.30,"Adjust spending (reduce_to:event_11596:223.30), then pay ZAR 6468 today. This leaves at least ZAR 11300 available."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,11339.56,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Pay ZAR 23980 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,146.56,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2668.80 request. Although USD 146.56 is available today, the full amount cannot be completed safely within 90 days."
request_130,587.29,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,Pay USD 1978.80 in full on 2025-01-15. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1423.60,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available."
request_132,142.37,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 379.86 request. Although USD 142.37 is available today, the full amount cannot be completed safely within 90 days."
request_133,4366514.14,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15770000 request. Although IDR 4366514.14 is available today, the full amount cannot be completed safely within 90 days."
request_134,7210010.38,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Pay IDR 21831000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. This leaves at least USD 1100 available over the next 90 days.
request_137,31243.73,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Pay INR 80100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71800 minimum.
request_138,835.52,affordable_with_plan,partial_payment,2026-04-07:835.52|2026-04-15:421.42,2026-04-15,none,Pay EUR 835.52 today and the remaining EUR 421.42 on 2026-04-15. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1429.14,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available."
request_140,3050.46,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62832 request. Although ZAR 3050.46 is available today, the full amount cannot be completed safely within 90 days."
request_141,25358.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171600 request. Although INR 25358.79 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This leaves at least USD 1700 available over the next 90 days.
request_143,3787.01,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Pay ZAR 12584 in full on 2025-06-15. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,47305.52,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75365.33, starting 2024-03-20. This leaves at least INR 155400 available."
request_146,26160.38,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449400 request. Although INR 26160.38 is available today, the full amount cannot be completed safely within 90 days."
request_147,536.43,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available."
request_148,10386.21,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20000 available."
request_149,24946.80,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100 available."
request_150,209.43,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 496.10 request. Although EUR 209.43 is available today, the full amount cannot be completed safely within 90 days."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11483.03,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available."
request_153,180.07,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2830.80 request. Although USD 180.07 is available today, the full amount cannot be completed safely within 90 days."
request_154,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-14. None of the available options keeps the EUR 1300 minimum protected.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,9770.43,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Pay ZAR 43076 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,4396424.48,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Pay IDR 23503000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This leaves at least ZAR 8700 available over the next 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23010400 minimum protected.
request_162,4404851.23,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83923000 request. Although IDR 4404851.23 is available today, the full amount cannot be completed safely within 90 days."
request_163,11432970.67,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 26728700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500 available."
request_165,78349.89,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15111,"Adjust spending (stop:event_15111), then pay INR 80600 today. This leaves at least INR 95000 available."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,42462.30,affordable_with_plan,partial_payment,2026-01-07:42462.30|2026-01-15:6917.70,2026-01-15,none,Pay INR 42462.30 today and the remaining INR 6917.70 on 2026-01-15. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,33295343.47,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800 available."
request_171,50.34,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1878.80 request. Although EUR 50.34 is available today, the full amount cannot be completed safely within 90 days."
request_172,8365.58,affordable_with_plan,partial_payment,2024-06-05:8365.58|2024-06-15:1834.42,2024-06-15,none,Pay ZAR 8365.58 today and the remaining ZAR 1834.42 on 2024-06-15. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,69820.05,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100 available."
request_174,1128.63,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_15952:16.80,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,420.57,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the EUR 1239.70 request. Although EUR 420.57 is available today, the full amount cannot be completed safely within 90 days."
request_177,784,affordable_with_plan,full_payment,2026-01-05:1017.60,,stop:event_16203|reduce_to:event_16204:34.40,"Adjust spending (stop:event_16203|reduce_to:event_16204:34.40), then pay USD 1017.60 today. This leaves at least USD 1300 available."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available."
request_179,11162819.98,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Pay IDR 41648000 in full on 2025-06-15. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,355.71,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5059.20 request. Although USD 355.71 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,25488344.56,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300 available."
request_184,11493.43,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251900 request. Although INR 11493.43 is available today, the full amount cannot be completed safely within 90 days."
request_185,482.37,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,Pay EUR 1257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,1908.32,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26554 request. Although ZAR 1908.32 is available today, the full amount cannot be completed safely within 90 days."
request_187,44971.01,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Pay INR 187500 in full on 2024-10-15. Paying earlier would take the balance below the INR 128300 minimum.
